Year,CCFactor,number
2021,1.013811,1
2022,1.027622,2
2023,1.041433,3
2024,1.055244,4
2025,1.069055,5
2026,1.082866,6
2027,1.096677,7
2028,1.110488,8
2029,1.124299,9
2030,1.13811,10
2031,1.151921,11
2032,1.165732,12
2033,1.179543,13
2034,1.193354,14
2035,1.207165,15
2036,1.220976,16
2037,1.234787,17
2038,1.248598,18
2039,1.262409,19
2040,1.27622,20
2041,1.290031,21
2042,1.303842,22
2043,1.317653,23
2044,1.331464,24
2045,1.345275,25
2046,1.359086,26
2047,1.372897,27
2048,1.386708,28
2049,1.400519,29
2050,1.41433,30
2051,1.428474,31
2052,1.442618,32
2053,1.456762,33
2054,1.470906,34
2055,1.48505,35
2056,1.499194,36
2057,1.513338,37
2058,1.527482,38
2059,1.541626,39
2060,1.55577,40
2061,1.569914,41
2062,1.584058,42
2063,1.598202,43
2064,1.612346,44
2065,1.62649,45
2066,1.640634,46
2067,1.654778,47
2068,1.668922,48
2069,1.683066,49
2070,1.69721,50
2071,1.711354,51
2072,1.725498,52
2073,1.739642,53
2074,1.753786,54
2075,1.76793,55
2076,1.782074,56
2077,1.796218,57
2078,1.810362,58
2079,1.824506,59
2080,1.83865,60
2081,1.852794,61
2082,1.866938,62
2083,1.881082,63
2084,1.895226,64
2085,1.90937,65
2086,1.923514,66
2087,1.937658,67
2088,1.951802,68
2089,1.965946,69
2090,1.98009,70
2091,1.994234,71
2092,2.008378,72
2093,2.022522,73
2094,2.036666,74
2095,2.05081,75
2096,2.064954,76
2097,2.079098,77
2098,2.093242,78
2099,2.107386,79
2100,2.12153,80
