StandAge,predict,ProbAdjustment,FRI
1,0.2314,0.308286704,26.3212736
2,0.2402,0.320010658,27.3159772
3,0.249,0.331734612,28.3106808
4,0.2578,0.343458566,29.3053844
5,0.2666,0.355182521,30.300088
6,0.2754,0.366906475,31.2947916
7,0.2842,0.378630429,32.2894952
8,0.293,0.390354383,33.2841988
9,0.3018,0.402078337,34.2789024
10,0.3106,0.413802292,35.273606
11,0.3194,0.425526246,36.2683096
12,0.3282,0.4372502,37.2630132
13,0.337,0.448974154,38.2577168
14,0.3458,0.460698108,39.2524204
15,0.3546,0.472422062,40.247124
16,0.3634,0.484146017,41.2418276
17,0.3722,0.495869971,42.2365312
18,0.381,0.507593925,43.2312348
19,0.3898,0.519317879,44.2259384
20,0.3986,0.531041833,45.220642
21,0.4074,0.542765787,46.2153456
22,0.4162,0.554489742,47.2100492
23,0.425,0.566213696,48.2047528
24,0.4338,0.57793765,49.1994564
25,0.4426,0.589661604,50.19416
26,0.4514,0.601385558,51.1888636
27,0.4602,0.613109512,52.1835672
28,0.469,0.624833467,53.1782708
29,0.4778,0.636557421,54.1729744
30,0.4866,0.648281375,55.167678
31,0.4954,0.660005329,56.1623816
32,0.5042,0.671729283,57.1570852
33,0.513,0.683453237,58.1517888
34,0.5218,0.695177192,59.1464924
35,0.5306,0.706901146,60.141196
36,0.5394,0.7186251,61.1358996
37,0.5482,0.730349054,62.1306032
38,0.557,0.742073008,63.1253068
39,0.5658,0.753796962,64.1200104
40,0.5746,0.765520917,65.114714
41,0.5834,0.777244871,66.1094176
42,0.5922,0.788968825,67.1041212
43,0.601,0.800692779,68.0988248
44,0.6098,0.812416733,69.0935284
45,0.6186,0.824140687,70.088232
46,0.6274,0.835864642,71.0829356
47,0.6362,0.847588596,72.0776392
48,0.645,0.85931255,73.0723428
49,0.6538,0.871036504,74.0670464
50,0.6626,0.882760458,75.06175
51,0.6714,0.894484412,76.0564536
52,0.6802,0.906208367,77.0511572
53,0.689,0.917932321,78.0458608
54,0.6978,0.929656275,79.0405644
55,0.7066,0.941380229,80.035268
56,0.7154,0.953104183,81.0299716
57,0.7242,0.964828137,82.0246752
58,0.733,0.976552092,83.0193788
59,0.7418,0.988276046,84.0140824
60,0.7506,1,85.008786
61,0.7506,1,86.0034896
62,0.7506,1,86.9981932
63,0.7506,1,87.9928968
64,0.7506,1,88.9876004
65,0.7506,1,89.982304
66,0.7506,1,90.9770076
67,0.7506,1,91.9717112
68,0.7506,1,92.9664148
69,0.7506,1,93.9611184
70,0.7506,1,94.955822
71,0.7506,1,95.9505256
72,0.7506,1,96.9452292
73,0.7506,1,97.9399328
74,0.7506,1,98.9346364
75,0.7506,1,99.92934
76,0.7506,1,100.9240436
77,0.7506,1,101.9187472
78,0.7506,1,102.9134508
79,0.7506,1,103.9081544
80,0.7506,1,104.902858
81,0.7506,1,105.8975616
82,0.7506,1,106.8922652
83,0.7506,1,107.8869688
84,0.7506,1,108.8816724
85,0.7506,1,109.876376
86,0.7506,1,110.8710796
87,0.7506,1,111.8657832
88,0.7506,1,112.8604868
89,0.7506,1,113.8551904
90,0.7506,1,114.849894
91,0.7506,1,115.8445976
92,0.7506,1,116.8393012
93,0.7506,1,117.8340048
94,0.7506,1,118.8287084
95,0.7506,1,119.823412
96,0.7506,1,120.8181156
97,0.7506,1,121.8128192
98,0.7506,1,122.8075228
99,0.7506,1,123.8022264
100,0.7506,1,124.79693
101,0.7506,1,125.7916336
102,0.7506,1,126.7863372
103,0.7506,1,127.7810408
104,0.7506,1,128.7757444
105,0.7506,1,129.770448
106,0.7506,1,130.7651516
107,0.7506,1,131.7598552
108,0.7506,1,132.7545588
109,0.7506,1,133.7492624
110,0.7506,1,134.743966
111,0.7506,1,135.7386696
112,0.7506,1,136.7333732
113,0.7506,1,137.7280768
114,0.7506,1,138.7227804
115,0.7506,1,139.717484
116,0.7506,1,140.7121876
117,0.7506,1,141.7068912
118,0.7506,1,142.7015948
119,0.7506,1,143.6962984
120,0.7506,1,144.691002
121,0.7506,1,145.6857056
122,0.7506,1,146.6804092
123,0.7506,1,147.6751128
124,0.7506,1,148.6698164
125,0.7506,1,149.66452
126,0.7506,1,150.6592236
127,0.7506,1,151.6539272
128,0.7506,1,152.6486308
129,0.7506,1,153.6433344
130,0.7506,1,154.638038
131,0.7506,1,155.6327416
132,0.7506,1,156.6274452
133,0.7506,1,157.6221488
134,0.7506,1,158.6168524
135,0.7506,1,159.611556
136,0.7506,1,160.6062596
137,0.7506,1,161.6009632
138,0.7506,1,162.5956668
139,0.7506,1,163.5903704
140,0.7506,1,164.585074
141,0.7506,1,165.5797776
142,0.7506,1,166.5744812
143,0.7506,1,167.5691848
144,0.7506,1,168.5638884
145,0.7506,1,169.558592
146,0.7506,1,170.5532956
147,0.7506,1,171.5479992
148,0.7506,1,172.5427028
149,0.7506,1,173.5374064
150,0.7506,1,174.53211
