Year,SCC
2015,30.87411809
2016,31.79519924
2017,32.7493353
2018,33.73644632
2019,34.75645864
2020,35.8093051
2021,36.88811023
2022,37.99998376
2023,39.14487147
2024,40.32272635
2025,41.53350811
2026,42.77023749
2027,44.04020841
2028,45.34339068
2029,46.67976049
2030,48.04929983
2031,49.4449314
2032,50.87411408
2033,52.33683444
2034,53.83308424
2035,55.3628597
2036,56.91901418
2037,58.5091226
2038,60.1331799
2039,61.79118479
2040,63.48313915
2041,65.20183417
2042,66.95493463
2043,68.7424357
2044,70.56433513
2045,72.42063272
2046,74.3040664
2047,76.22236466
2048,78.17551582
2049,80.16350999
2050,82.18633831
2051,84.23671207
2052,86.32238098
2053,88.44332096
2054,90.5995089
2055,92.79092216
2056,95.01027048
2057,97.26528657
2058,99.55592955
2059,101.8821589
2060,104.2439344
2061,106.6339827
2062,109.0599909
2063,111.5218981
2064,114.0196435
2065,116.5531663
2066,119.1152578
2067,121.7135023
2068,124.3478172
2069,127.0181198
2070,129.7243273
2071,132.4594016
2072,135.2307074
2073,138.03814
2074,140.8815949
2075,143.7609677
2076,146.6695434
2077,149.6143036
2078,152.5951229
2079,155.6118771
2080,158.6644422
2081,161.7468012
2082,164.8651549
2083,168.0193622
2084,171.2092837
2085,174.4347818
2086,177.6911611
2087,180.9831821
2088,184.3106971
2089,187.6735612
2090,191.0716325
2091,194.5028238
2092,197.9690924
2093,201.4702998
2094,205.0063117
2095,208.5769983
2096,212.1854821
2097,215.8281523
2098,219.5049068
2099,223.2156483
2100,226.9602865
2101,230.751027
2102,234.5754558
2103,238.4335963
2104,242.3254673
2105,246.2510843
2106,250.2408916
2107,254.2621352
2108,258.3149192
2109,262.3993322
2110,266.5154478
2111,270.6408885
2112,274.7998709
2113,278.9923509
2114,283.2182778
2115,287.4775961
2116,291.7357995
2117,296.0299495
2118,300.3598517
2119,304.7253178
2120,309.1261659
2121,313.5630673
2122,318.0349335
2123,322.5415994
2124,327.0829023
2125,331.6586825
2126,336.2666144
2127,340.9088805
2128,345.5853184
2129,350.2957654
2130,355.040062
2131,359.8122171
2132,364.6183641
2133,369.4583205
2134,374.3319064
